unit,slot,player,position,class,origin,source_1,source_2,confidence_HML,notes
QB,1,Max Johnson,QB,SR,transfer:North Carolina,Athlon,PS,M,51.8/100 (ACC +2.08; 6-yr P4 vet - LSU/A&M/UNC; the projected starter, 24yo journeyman). JC French (65.4 -> Cincinnati) GONE
QB,2,Weston Bryan,QB,SO,returning,Athlon,PS,L,6 TD on 49 snaps as a frosh (heir apparent)
RB,1,David Mbadinga,RB,JR,returning,Athlon,PS,L,homegrown committee (3rd-year back). OJ/Omari Arnold (86.1/196, 1,100 yds) GONE (outgoing - 2026 draft prospect; feed class-miss)
RB,2,Terrance Gibbs,RB,JR,returning,Athlon,PS,L,committee depth (3rd-year back) + Jamarian Samuel
WRTE,1,Josh Dallas,WR,JR,returning,Athlon,PS,M,60.8/36 (SBC; breakout candidate - missed nearly all of '25 to a hip injury after 6 TD catches in '24)
WRTE,2,Ashton Hollins,WR,SR,transfer:Illinois,Athlon,PS,L,P4-transfer WR + Noble Johnson (Arizona State) + TE River Helms. LOST Camden Brown (76.5, yr4) + Sanders (yr4) + Cobb (yr4) - significant graduation
OL,1,Colin Alexander,OT,JR,returning,Athlon,PS,L,61.9/119 (SBC; RT)
OL,2,Ty Furnish,C,SR,returning,Athlon,PS,L,61.7/132 (SBC; C - yr4-return per Athlon starter listing)
OL,3,Caelan Williams,OT,SO,returning,Athlon,PS,L,LT + Mo Clipper (LG) + Cole Norred (RG transfer). LOST 4 starters from a p91 pass-block unit: Cook (USF), Brown (Louisville), Wright (Michigan State), Strong (North Texas)
DL,1,MJ Stroud,ED,JR,returning,Athlon,PS,M,74.5/459 (SBC; DL -6.50; All-Sun Belt edge - the headliner; withdrew from portal)
DL,2,Caleb Moore,DI,JR,returning,Athlon,PS,L,61.1/545 (SBC; returning DT)
DL,3,Anthony Bynum,ED,SR,transfer:Middle Tennessee,Athlon,PS,L,DE (CUSA) + Kebba Secka (50.8/427 returns) + Elijah Fears. LOST Rhodes (North Texas) + Ferguson (yr4). DEF/PRSH p2 (dead last in FBS)
LB,1,Brandon Tyson,LB,JR,returning,Athlon,PS,M,58.1/827 (SBC -8.20; returning starter)
LB,2,Rashon Myles Jr.,LB,SR,transfer:Abilene Christian,Athlon,PS,L,FCS all-conf (NO CELL) + Holden Trice + CJ Allen. Harrington (yr4) GONE
DB,1,Tracy Hill Jr.,CB,JR,returning,Athlon,PS,M,65.0/740 (SBC -3.62; returning starting CB)
DB,2,Chance Gamble,NB,SR,returning,Athlon,PS,L,65.0/241 (SBC; NB - yr4-return per Athlon starter listing)
DB,3,Aaron Sears,S,SR,transfer:Stephen F. Austin,Athlon,PS,L,FCS all-conf S (NO CELL; Mutz coached him) + Noah Mangham + Jakyri Jones (transfers). LOST Dorrian Smith (75.7, yr4) + Ayden Jackson (USF)
ST,1,Tripp Bryant,K,SO,returning,Athlon,PS,M,16-16 FG inside 40 (but 2-5 beyond) as a frosh
ST,2,Alex Smith,P,SR,transfer,Athlon,PS,L,transfer punter (Athlon "former Aus-", origin unclear in the cut-off text). SPEC p13 in '25
